Information,Vérification,Description,SourceLabel,SourceUrl
"Dans un tunnel idéal (sans air et sans frottement), la traversée complète de la Terre en chute libre prend environ 84 minutes.",Vraie,"Le modèle simplifié de chute gravitationnelle donne environ 42 minutes jusqu'à l'autre extrémité, soit environ 84 minutes aller-retour.",Wikipedia,https://en.wikipedia.org/wiki/Gravity_train
"Dire qu'on traverse la Terre en exactement 42 minutes sans préciser les hypothèses est incomplet.",Non vérifiable,"Cette durée dépend d'hypothèses strictes: tunnel sans air, pas de frottement, modèle terrestre simplifié et absence de contraintes matérielles.",Wikipedia,https://en.wikipedia.org/wiki/Gravity_train
"La température du noyau terrestre est de l'ordre de 5 000 à 6 000 degC.",Vraie,"Les estimations géophysiques situent le noyau interne dans cette plage de température.",USGS,https://www.usgs.gov/faqs/what-are-earths-layers
"La gravité est la plus forte au centre exact de la Terre.",Fausse,"Au centre exact, les contributions gravitationnelles se compensent et l'accélération gravitationnelle tend vers 0.",Britannica,https://www.britannica.com/science/Shell-theorem
"Sans pertes d'énergie, un objet lâché dans un tunnel traversant la Terre oscillerait d'un côté à l'autre.",Vraie,"Dans un système idéal sans dissipation, le mouvement reste oscillatoire autour du centre.",Wikipedia,https://en.wikipedia.org/wiki/Gravity_train
"Avec frottements (air, parois), l'objet finit par perdre de l'énergie et se stabiliser vers le centre.",Vraie,"Les pertes dissipatives diminuent progressivement l'amplitude des oscillations jusqu'à un arrêt proche du centre.",Khan Academy,https://www.khanacademy.org/science/physics/work-and-energy/work-and-energy-tutorial/a/what-is-work
"Creuser aujourd'hui un tunnel stable qui traverse toute la Terre est réalisable avec la technologie actuelle.",Fausse,"Les conditions extrêmes de pression, température et matériaux rendent ce scénario irréaliste à l'échelle planétaire.",Britannica,https://www.britannica.com/science/Earth
"Une vitesse de 38 000 km/h au centre de la Terre est une valeur validée expérimentalement.",Fausse,"Ce chiffre est issu de modèles théoriques simplifiés, pas d'une validation expérimentale réelle dans un tunnel terrestre.",Wikipedia,https://en.wikipedia.org/wiki/Gravity_train
"Le raisonnement de la vidéo mélange des éléments corrects de physique et des simplifications fortes.",Vraie,"L'idée physique de base est utile, mais l'interprétation pratique exige d'expliciter les hypothèses et les limites.",ScienceDaily,https://www.sciencedaily.com/terms/geophysics.htm
"La phrase 'on ressortira exactement de l'autre côté' est vraie dans tous les cas.",Fausse,"Ce n'est vrai que dans un modèle idéal sans dissipation; dans des conditions réelles, les frottements empêchent ce résultat parfait.",The Independent,https://www.independent.co.uk/tech/earth-tunnel-fall-through-b2141579.html
